Event Number,Over Number,Bowler Name,Batter Name,Run Outcome,Length of Ball,Line of Ball,Shot Type,Shot Placement,
0,22.6,Mohammad Nabi,Babar Azam,1,Back of Length,Stumps,Slog Sweep,Long On,
0,22.5,Mohammad Nabi,Babar Azam,6,Good Length,Dab Push,Mid On,Deep Point,Short mid wicket
0,22.4,Mohammad Nabi,Babar Azam,1,Full length,Off Stump,Sweep,Long On,
0,22.3,Mohammad Nabi,Babar Azam,1,Full length,Slash Push,Mid On,Long On,
1,22.1,Mohammad Nabi,Babar Azam,1,Off stump,Stumps,Slog Sweep,Long On,
1,21.6,Rashid Khan,Babar Azam,2,Good length,Dab Defense,Mid On,Deep Fine Leg,
1,21.3,Rashid Khan,Babar Azam,1,Good length,Stumps,Pull,Deep Mid Wicket,
0,21.2,Rashid Khan,Babar Azam,0,Full length,Slash Drive,Mid Off,Long On,
0,20.6,Mohammad Nabi,Babar Azam,0,Full length,Drive,Deep Mid Wicket,Deep Point,
0,20.5,Mohammad Nabi,Babar Azam,0,Full length,Dab Drive,Mid On,Deep Point,
1,20.2,Mohammad Nabi,Babar Azam,1,Full length,Stumps,Drive,Long On,
0,19.6,Rashid Khan,Babar Azam,1,Full length,Off Stump,Punch,Point,
1,19.1,Rashid Khan,Babar Azam,0,Good length,Drive,Punch,Point,
1,18.5,Abdul Rahman,Babar Azam,1,Good length,Stumps,Flick shot,Deep mid wicket,
0,18.4,Abdul Rahman,Babar Azam,1,Full length,Off stump,Slash cut,Point,
1,17.4,Rashid Khan,Babar Azam,0,Full length,Off stump,Push,Long on,
0,17.3,Rashid Khan,Babar Azam,1,Full length,Stumps,Dabs defensive shot,Short mid wicket,
0,16.6,Abdul Rahman,Babar Azam,1,Full length,Off stump,Dabs defensive shot,Short cover,
1,16.4,Abdul Rahman,Babar Azam,2,Full length,Off stump,Drive,Deep cover,
1,16.2,Abdul Rahman,Babar Azam,1,Full length,Off stump,Inside out shot,Deep cover,
0,16.1,Abdul Rahman,Babar Azam,0,Full length,Off stump,Slash cut,Point,
4,15.6,Mohammad Nabi,Babar Azam,4,Fulltoss,Stumps,Push (Gap),Deep mid wicket,
0,15.5,Mohammad Nabi,Babar Azam,3,Full length,Off stump,Dabs flick shot,Short mid wicket,
2,15.2,Abdul Rahman,Babar Azam,1,Good length,Off stump,Upper cut,Third man,
1,15.1,Abdul Rahman,Babar Azam,4,Full length,Off stump,Slash cut,Point,
2,35.2,Abdul Rahman,Babar Azam,4,Fulltoss,Stumps,Push (Gap),Deep mid wicket,
1,25.1,Abdul Rahman,Babar Azam,0,Good length,Off stump,Upper cut,Third man,
0,0.6,Fazalhaq Farooqi,Babar Azam,1,inswinger, full length, on the off stump, slash flick shot,point
0,0.5,Fazalhaq Farooqi,Babar Azam,0,fast ball, full length, on the off stump, defensive shot, halts the ball.
14,0.5,Fazalhaq Farooqi,Babar Azam,3,outswinger good length on the leg stump, That sails wide of the leg-stump, leaving Babar Azam with no chance to make contact, a wide.,
36.5,24.3,Mohammad Nabi,Babar Azam,1,Back of Length,Off Stump,Drive,Long Off,
36.4,24.1,Mohammad Nabi,Babar Azam,0,Good Length,Stumps,Pull,Deep Mid Wicket,
36.3,23.6,Rashid Khan,Babar Azam,0,Off Stump,Dab Push,Mid On,Deep Point,
36.2,23.5,Rashid Khan,Babar Azam,0,Stumps,Sweep,Deep Square Leg,Deep Point,
36.1,22.6,Mohammad Nabi,Babar Azam,1,Back of Length,Stumps,Slog Sweep,Long On,
35.5,22.5,Mohammad Nabi,Babar Azam,6,Good Length,Dab Push,Mid On,Deep Point,Short mid wicket
35.4,22.4,Mohammad Nabi,Babar Azam,1,Full length,Off Stump,Sweep,Long On,
35.3,22.3,Mohammad Nabi,Babar Azam,1,Full length,Slash Push,Mid On,Long On,
35.1,22.1,Mohammad Nabi,Babar Azam,1,Off stump,Stumps,Slog Sweep,Long On,
35.1,21.6,Rashid Khan,Babar Azam,2,Good length,Dab Defense,Mid On,Deep Fine Leg,
34.6,21.3,Rashid Khan,Babar Azam,1,Good length,Stumps,Pull,Deep Mid Wicket,
34.5,21.2,Rashid Khan,Babar Azam,0,Full length,Slash Drive,Mid Off,Long On,
34.4,20.6,Mohammad Nabi,Babar Azam,0,Full length,Drive,Deep Mid Wicket,Deep Point,
34.3,20.5,Mohammad Nabi,Babar Azam,0,Full length,Dab Drive,Mid On,Deep Point,
34.1,20.2,Mohammad Nabi,Babar Azam,1,Full length,Stumps,Drive,Long On,
33.6,19.6,Rashid Khan,Babar Azam,1,Full length,Off Stump,Punch,Point,
33.5,19.1,Rashid Khan,Babar Azam,0,Good length,Drive,Punch,Point,
31.6,18.5,Abdul Rahman,Babar Azam,1,Good length,Stumps,Flick shot,Deep mid wicket,
31.3,18.4,Abdul Rahman,Babar Azam,1,Full length,Off stump,Slash cut,Point,
31.2,17.4,Rashid Khan,Babar Azam,0,Full length,Off stump,Push,Long on,
31.2,17.3,Rashid Khan,Babar Azam,1,Full length,Stumps,Dabs defensive shot,Short mid wicket,
